Time - sec,Amplitude - g
0.052,-0.003338
0.345,-0.000157
0.264,0.000503
0.241,0.008624
0.013,0.005691
0.315,1.16e-05
0.088,0.002373
0.387,4.25e-06
0.273,-0.002716
0.166,-0.000952
0.328,-0.00048
0.493,-0.00056
0.134,0.00342
0.306,-0.000914
0.481,0.002195
0.319,0.009155
0.243,0.000323
0.054,0.000994
0.363,2.04e-05
0.05,-0.002817
0.457,0.005981
0.174,0.000774
0.445,-0.000334
0.189,-0.002265
0.497,0.002437
0.187,0.000391
0.169,-0.004231
0.058,0.000653
0.048,0.000633
0.344,0.001535
0.235,-0.000941
0.252,0.005756
0.021,0.008511
0.313,-0.004502
0.459,0.000407
0.16,0.002485
0.276,-0.001112
0.443,-0.000334
0.191,0.006191
0.385,0.003452
0.293,0.000954
0.413,-0.000817
0.343,-0.000147
0.257,0.000633
0.308,-0.003448
0.149,-0.003107
0.13,0.003661
0.151,0.006191
0.359,0.004515
0.099,0.010074
0.372,-0.002456
0.087,-0.000882
0.458,-0.002676
0.33,-0.00052
0.214,3.65e-05
0.466,-0.003539
0.121,0.006658
,0.000876241
0.02,0.000713
0.188,-0.001001
0.071,-0.001904
0.106,0.005724
0.27,-0.002837
0.348,-0.002606
0.435,-0.000495
0.102,0.010348
